Frame,Time,Location_X,Location_Y,Speed,gas
607014,32.269700445234776,250.0006561279297,133.75,1.0785791873931885,0.0
607015,32.29143954440951,250.0006561279297,133.75,1.4668521881103516,0.0
607016,32.3093201443553,250.0006561279297,133.75,1.4668521881103516,0.0
607017,32.33906854316592,250.0006561279297,133.75,1.2605311870574951,0.0
607018,32.363170843571424,250.0006561279297,133.75,0.9467853903770447,0.0
607019,32.39961964637041,250.0006561279297,133.75,0.37475401163101196,0.0
607020,32.42865714430809,250.0006561279297,133.75,0.37475401163101196,0.0
607021,32.47344444319606,250.0006561279297,133.75,0.14048168063163757,0.0
607022,32.505417846143246,250.0006561279297,133.75,0.032454222440719604,0.0
607023,32.54458674415946,250.0006561279297,133.75,0.04737138748168945,0.0
607024,32.577841345220804,250.0006561279297,133.75,0.08589254319667816,0.0
607025,32.61718824505806,250.0006561279297,133.75,0.10432040691375732,0.0
607026,32.6482119448483,250.0006561279297,133.75,0.10703490674495697,0.0
607027,32.687964644283056,250.0006561279297,133.75,0.09871874749660492,0.0
607028,32.720312144607306,250.0006561279297,133.75,0.08864113688468933,0.0
607029,32.75773234665394,250.0006561279297,133.75,0.07340628653764725,0.0
607030,32.79903554543853,250.0006561279297,133.75,0.057551316916942596,1.0
607031,32.840433444827795,250.0006561279297,133.75,0.04255037382245064,1.0
607032,32.87888064607978,250.0006561279297,133.75,0.030148161575198174,1.0
607033,32.91592384502292,250.0006561279297,133.75,0.021423883736133575,1.0
607034,32.95416194573045,250.0006561279297,133.75,0.013942718505859375,1.0
607035,32.99401204288006,250.0006561279297,133.75,0.008113879710435867,1.0
607036,33.031449645757675,250.0006561279297,133.75,0.004863929469138384,1.0
607037,33.07009644433856,250.0006561279297,133.75,0.001921319868415594,1.0
607038,33.10912514477968,250.0006561279297,133.75,0.00016055114974733442,1.0
607039,33.14483964443207,250.0006561279297,133.75,0.00019824982155114412,1.0
607040,33.181594744324684,250.00399780273438,133.74998474121094,0.15728741884231567,1.0
607041,33.219491943717,250.016845703125,133.74989318847656,0.4453129470348358,1.0
607042,33.256866443902254,250.0379638671875,133.74972534179688,0.6279284954071045,1.0
607043,33.29260944575071,250.0638427734375,133.74957275390625,0.786285936832428,1.0
607044,33.33134764432907,250.0974884033203,133.7493438720703,0.9359039664268494,1.0
607045,33.369370345026255,250.13583374023438,133.74908447265625,1.0284781455993652,1.0
607046,33.405100144445896,250.17755126953125,133.7487335205078,1.2372336387634277,1.0
607047,33.444959443062544,250.23043823242188,133.74810791015625,1.3787459135055542,1.0
607048,33.48169254511595,250.2841796875,133.74766540527344,1.4989781379699707,1.0
607049,33.52011004462838,250.3455810546875,133.7470245361328,1.6434036493301392,1.0
607050,33.55857724323869,250.41246032714844,133.7462921142578,1.7862193584442139,1.0
607051,33.599517945200205,250.49061584472656,133.7454071044922,1.9816102981567383,1.0
607052,33.64057704433799,250.57589721679688,133.74423217773438,2.142056703567505,1.0
607053,33.680511843413115,250.6649169921875,133.74276733398438,2.2784531116485596,1.0
607054,33.72087774425745,250.7617645263672,133.74107360839844,2.4711780548095703,1.0
607055,33.76091694459319,250.86456298828125,133.73924255371094,2.6328606605529785,1.0
607056,33.79875674471259,250.96746826171875,133.7373809814453,2.7691822052001953,1.0
607057,33.84207734465599,251.0923309326172,133.7350616455078,2.955655336380005,1.0
607058,33.878313943743706,251.20245361328125,133.7329864501953,3.0970141887664795,1.0
607059,33.91511844471097,251.319580078125,133.73072814941406,3.240360975265503,1.0
607060,33.95165774598718,251.44114685058594,133.7283172607422,3.3842179775238037,1.0
607061,33.98802674561739,251.56732177734375,133.72573852539062,3.526097059249878,1.0
607062,34.02540484443307,251.70233154296875,133.722900390625,3.6697633266448975,1.0
607063,34.06295324489474,251.84336853027344,133.7198486328125,3.8133184909820557,1.0
607064,34.10235974565148,251.99725341796875,133.71644592285156,3.9649479389190674,1.0
607065,34.1402463465929,252.15089416503906,133.71298217773438,4.1117262840271,1.0
607066,34.17637364566326,252.3026123046875,133.70948791503906,4.254886150360107,1.0
607067,34.21288054436445,252.4612579345703,133.70574951171875,4.402811050415039,1.0
607068,34.25005944445729,252.6284637451172,133.7017059326172,4.557174205780029,1.0
607069,34.28915374353528,252.81063842773438,133.6972198486328,4.724108695983887,1.0
607070,34.32638904452324,252.99024963378906,133.6926727294922,4.887979507446289,1.0
607071,34.36674204468727,253.1918182373047,133.6870880126953,5.0712127685546875,1.0
607072,34.402746345847845,253.37806701660156,133.68141174316406,5.239414691925049,1.0
607073,34.442529544234276,253.5895233154297,133.67466735839844,5.304261684417725,1.0
607074,34.48032044619322,253.79241943359375,133.66802978515625,5.37887716293335,1.0
607075,34.5183413438499,254.00042724609375,133.6610565185547,5.495948791503906,1.0
607076,34.55537114292383,254.2083740234375,133.65394592285156,5.660671234130859,1.0
607077,34.593528643250465,254.42942810058594,133.6461944580078,5.849007606506348,1.0
607078,34.631612345576286,254.65438842773438,133.63812255859375,5.879082202911377,1.0
607079,34.66931354627013,254.8767547607422,133.6299591064453,5.87811803817749,1.0
607080,34.706549145281315,255.09632873535156,133.62168884277344,5.877351760864258,1.0
607081,34.74220934510231,255.31419372558594,133.61328125,6.224679470062256,1.0
607082,34.78121134638786,255.56407165527344,133.6033172607422,6.470148086547852,1.0
607083,34.81813744455576,255.80856323242188,133.59304809570312,6.704442977905273,1.0
607084,34.855604745447636,256.06439208984375,133.58168029785156,6.9012651443481445,1.0
607085,34.89261104539037,256.3243713378906,133.56964111328125,7.089687824249268,1.0
607086,34.931202843785286,256.6026306152344,133.5562744140625,7.268547058105469,1.0
607087,34.969612043350935,256.8866271972656,133.54226684570312,7.450512409210205,1.0
607088,35.00760704651475,257.17437744140625,133.52767944335938,7.6312103271484375,1.0
607089,35.04308674484491,257.4494323730469,133.51341247558594,7.813411235809326,1.0
607090,35.08154524490237,257.75390625,133.49685668945312,7.973289966583252,1.0
607091,35.122165743261576,258.08349609375,133.47792053222656,8.221298217773438,1.0
607092,35.15871004387736,258.3866271972656,133.45970153808594,8.380471229553223,1.0
607093,35.19468104466796,258.69061279296875,133.44085693359375,8.54146957397461,1.0
607094,35.23299204558134,259.0204772949219,133.41981506347656,8.702248573303223,1.0
607095,35.27127084508538,259.3562927246094,133.3977813720703,8.869318008422852,1.0
607096,35.308066446334124,259.68524169921875,133.37557983398438,9.038532257080078,1.0
607097,35.34439404308796,260.0161437988281,133.3525848388672,9.20743465423584,1.0
607098,35.38098304346204,260.3555908203125,133.32809448242188,9.3774995803833,1.0
607099,35.41712964326143,260.6970520019531,133.3025360107422,9.54878044128418,1.0
607100,35.45750694349408,261.0857849121094,133.27235412597656,9.731736183166504,1.0
607101,35.49564664438367,261.4602966308594,133.2421875,9.906639099121094,1.0
607102,35.53288334608078,261.8324279785156,133.21119689941406,10.08154296875,1.0
607103,35.570132944732904,262.2110595703125,133.178466796875,10.258118629455566,1.0
607104,35.60755384340882,262.59796142578125,133.14370727539062,10.437140464782715,1.0
607105,35.64488234370947,262.9904479980469,133.10726928710938,10.618701934814453,1.0
607106,35.680967643857,263.3761901855469,133.0703887939453,10.799160957336426,1.0
607107,35.719958044588566,263.8001403808594,133.02862548828125,10.990485191345215,1.0
607108,35.75779574364424,264.216796875,132.986328125,11.087646484375,1.0
607109,35.79406964406371,264.6159973144531,132.94454956054688,11.087370872497559,1.0
607110,35.830463744699955,265.01617431640625,132.90130615234375,11.090275764465332,1.0
607111,35.86680834367871,265.4184265136719,132.85647583007812,11.225727081298828,1.0
607112,35.90417144447565,265.8387756347656,132.80824279785156,11.398052215576172,1.0
607113,35.94047164544463,266.2529296875,132.7594451904297,11.550893783569336,1.0
607114,35.97739254310727,266.6794738769531,132.70779418945312,11.695218086242676,1.0
607115,36.014911744743586,267.117919921875,132.65321350097656,11.832015991210938,1.0
607116,36.052639946341515,267.5636901855469,132.59608459472656,11.961724281311035,1.0
607117,36.090100545436144,268.0107116699219,132.53720092773438,12.084290504455566,1.0
607118,36.12683864310384,268.4532470703125,132.47731018066406,12.199767112731934,1.0
607119,36.165136244148016,268.9187316894531,132.41258239746094,12.317031860351562,1.0
607120,36.20204424485564,269.3712463378906,132.34793090820312,12.427144050598145,1.0
607121,36.24027044326067,269.84393310546875,132.27874755859375,12.539953231811523,1.0
607122,36.27670254558325,270.2981262207031,132.2107696533203,12.645927429199219,1.0
607123,36.314186345785856,270.76922607421875,132.138671875,12.754311561584473,1.0
607124,36.3494009450078,271.2151794433594,132.06898498535156,12.855615615844727,1.0
607125,36.38713554292917,271.6967468261719,131.99197387695312,12.963729858398438,1.0
607126,36.42496504634619,272.1832275390625,131.91224670410156,13.07220458984375,1.0
607127,36.46322914585471,272.6791076660156,131.8290252685547,13.182172775268555,1.0
607128,36.499767646193504,273.15618896484375,131.74710083007812,13.287524223327637,1.0
607129,36.53565414622426,273.62811279296875,131.6642608642578,13.391359329223633,1.0
607130,36.57295244559646,274.12225341796875,131.57553100585938,13.499826431274414,1.0
607131,36.61229134351015,274.6473693847656,131.4791717529297,13.615249633789062,1.0
607132,36.64706474542618,275.11492919921875,131.39166259765625,13.717843055725098,1.0
607133,36.684567242860794,275.622802734375,131.29473876953125,13.829163551330566,1.0
607134,36.71996924653649,276.10565185546875,131.20082092285156,13.93493366241455,1.0
607135,36.75690844655037,276.613037109375,131.10020446777344,14.04157829284668,0.7406651377677917
607136,36.79184544458985,277.09576416015625,131.0026092529297,14.12744140625,0.42751073837280273
607137,36.826444044709206,277.5759582519531,130.9037628173828,14.190882682800293,0.42751073837280273
607138,36.86232954636216,278.0754089355469,130.79896545410156,14.235318183898926,0.1860557198524475
607139,36.90102194622159,278.6147155761719,130.68348693847656,14.258476257324219,0.1860557198524475
607140,36.933274146169424,279.0641784667969,130.58546447753906,14.264094352722168,0.1860557198524475
607141,36.96865504607558,279.55682373046875,130.47610473632812,14.257881164550781,0.028343437239527702
