index,x,y,z
0,250.0006561279297,137.25,0.0
1,252.1965789794922,137.232421875,0.0
2,254.39193725585938,137.17971801757812,0.0
3,256.5861511230469,137.09188842773438,0.0
4,258.7786865234375,136.96896362304688,0.0
5,260.9689636230469,136.8109893798828,0.0
6,263.15643310546875,136.61798095703125,0.0
7,265.340576171875,136.38999938964844,0.0
8,267.520751953125,136.12709045410156,0.0
9,269.6964416503906,135.829345703125,0.0
10,271.8670959472656,135.49684143066406,0.0
11,274.03216552734375,135.129638671875,0.0
12,276.1910705566406,134.72784423828125,0.0
13,278.34326171875,134.29156494140625,0.0
14,280.4881896972656,133.82089233398438,0.0
15,282.6253662109375,133.31597900390625,0.0
16,284.754150390625,132.7769317626953,0.0
17,286.8740234375,132.20388793945312,0.0
18,288.9844665527344,131.5970001220703,0.0
19,291.0849304199219,130.95643615722656,0.0
20,293.1748962402344,130.2823486328125,0.0
21,295.2537841796875,129.5749053955078,0.0
22,297.3211364746094,128.83428955078125,0.0
23,299.3763122558594,128.06069946289062,0.0
24,301.41888427734375,127.25431823730469,0.0
25,303.4482727050781,126.41535949707031,0.0
26,305.4640197753906,125.5440444946289,0.0
27,307.46551513671875,124.64058685302734,0.0
28,309.45233154296875,123.7052230834961,0.0
29,311.4239196777344,122.73818969726562,0.0
30,313.3797912597656,121.73974609375,0.0
31,315.3194274902344,120.71012878417969,0.0
32,317.2423400878906,119.64960479736328,0.0
33,319.1480712890625,118.55845642089844,0.0
34,321.0360412597656,117.43696594238281,0.0
35,322.9058837890625,116.28540802001953,0.0
36,324.75701904296875,115.10408020019531,0.0
37,326.58905029296875,113.89328002929688,0.0
38,328.4014587402344,112.65333557128906,0.0
39,330.1938171386719,111.38453674316406,0.0
40,331.96563720703125,110.08724212646484,0.0
41,333.7164306640625,108.76175689697266,0.0
42,335.4458312988281,107.40843200683594,0.0
43,337.15338134765625,106.02760314941406,0.0
44,338.8385925292969,104.61964416503906,0.0
45,340.5010681152344,103.18489074707031,0.0
46,342.1403503417969,101.72372436523438,0.0
47,343.756103515625,100.23651885986328,0.0
48,345.3478088378906,98.72366333007812,0.0
49,346.91510009765625,97.1855239868164,0.0
50,348.45758056640625,95.62251281738281,0.0
51,349.9748840332031,94.03501892089844,0.0
52,351.4665832519531,92.42344665527344,0.0
53,352.93231201171875,90.78822326660156,0.0
54,354.3717041015625,89.1297607421875,0.0
55,355.7843322753906,87.44847106933594,0.0
56,357.169921875,85.74480438232422,0.0
57,358.5280456542969,84.01918029785156,0.0
58,359.8583984375,82.27204895019531,0.0
59,361.16064453125,80.50386047363281,0.0
60,362.4344177246094,78.7150650024414,0.0
61,363.6794128417969,76.90611267089844,0.0
62,364.89532470703125,75.07747650146484,0.0
63,366.081787109375,73.22962188720703,0.0
64,367.23858642578125,71.36302185058594,0.0
65,368.3653259277344,69.4781494140625,0.0
66,369.4617919921875,67.57549285888672,0.0
67,370.52764892578125,65.65553283691406,0.0
68,371.5626525878906,63.71876907348633,0.0
69,372.5665588378906,61.76569366455078,0.0
70,373.5390625,59.79680633544922,0.0
71,374.47998046875,57.81261444091797,0.0
72,375.3890075683594,55.81361770629883,0.0
73,376.26593017578125,53.80033874511719,0.0
74,377.11053466796875,51.77328109741211,0.0
75,377.9226379394531,49.73297119140625,0.0
76,378.7019348144531,47.679931640625,0.0
77,379.44830322265625,45.61468505859375,0.0
78,380.1615295410156,43.53776168823242,0.0
79,380.8414611816406,41.44969177246094,0.0
80,381.4878845214844,39.35101318359375,0.0
81,382.10064697265625,37.24225997924805,0.0
82,382.6795654296875,35.12397384643555,0.0
83,383.22454833984375,32.99669647216797,0.0
84,383.73541259765625,30.860971450805664,0.0
85,384.2120666503906,28.717344284057617,0.0
86,384.65435791015625,26.566368103027344,0.0
87,385.0621337890625,24.40859031677246,0.0
88,385.4353942871094,22.244565963745117,0.0
89,385.7739562988281,20.074844360351562,0.0
90,386.0777587890625,17.899982452392578,0.0
91,386.3467102050781,15.720541000366211,0.0
92,386.5807800292969,13.53707504272461,0.0
93,386.7798767089844,11.350141525268555,0.0
94,386.9439697265625,9.16030502319336,0.0
95,387.072998046875,6.968122482299805,0.0
96,387.16693115234375,4.77415657043457,0.0
97,387.22576904296875,2.578967332839966,0.0
98,387.24945068359375,0.3831195831298828,0.0
99,387.238037109375,-1.812827706336975,0.0
100,387.19146728515625,-4.008310794830322,0.0
101,387.1097717285156,-6.202767848968506,0.0
102,386.99298095703125,-8.395635604858398,0.0
103,386.84112548828125,-10.586355209350586,0.0
104,386.65423583984375,-12.774365425109863,0.0
105,386.432373046875,-14.959105491638184,0.0
106,386.1755676269531,-17.1400146484375,0.0
107,385.8839111328125,-19.31653594970703,0.0
108,385.5574645996094,-21.488113403320312,0.0
109,385.1963195800781,-23.654190063476562,0.0
110,384.800537109375,-25.814210891723633,0.0
111,384.37030029296875,-27.96762466430664,0.0
112,383.9056396484375,-30.113876342773438,0.0
113,383.4067077636719,-32.252418518066406,0.0
114,382.87359619140625,-34.38270950317383,0.0
115,382.3064880371094,-36.50419616699219,0.0
116,381.70550537109375,-38.616336822509766,0.0
117,381.07080078125,-40.718589782714844,0.0
118,380.402587890625,-42.810420989990234,0.0
119,379.7009582519531,-44.89129638671875,0.0
120,378.96612548828125,-46.96067810058594,0.0
121,378.1982727050781,-49.01803207397461,0.0
122,377.3975830078125,-51.062843322753906,0.0
123,376.5643310546875,-53.09458541870117,0.0
124,375.6986389160156,-55.11273193359375,0.0
125,374.80078125,-57.11676788330078,0.0
126,373.8710021972656,-59.10618591308594,0.0
127,372.9094543457031,-61.08047103881836,0.0
128,371.91650390625,-63.039119720458984,0.0
129,370.892333984375,-64.98163604736328,0.0
130,369.8371887207031,-66.90750885009766,0.0
131,368.7513427734375,-68.81625366210938,0.0
132,367.6351318359375,-70.70738983154297,0.0
133,366.48883056640625,-72.5804214477539,0.0
134,365.3126525878906,-74.43486785888672,0.0
135,364.1070251464844,-76.27027130126953,0.0
136,362.8721008300781,-78.08614349365234,0.0
137,361.60833740234375,-79.88201904296875,0.0
138,360.3160400390625,-81.65745544433594,0.0
139,358.99542236328125,-83.4119873046875,0.0
140,357.6469421386719,-85.1451644897461,0.0
141,356.2709045410156,-86.85653686523438,0.0
142,354.8676452636719,-88.54568481445312,0.0
143,353.43756103515625,-90.212158203125,0.0
144,351.9809875488281,-91.85554504394531,0.0
145,350.498291015625,-93.47541809082031,0.0
146,348.9898986816406,-95.07135009765625,0.0
147,347.4561462402344,-96.64295959472656,0.0
148,345.8974609375,-98.1898193359375,0.0
149,344.314208984375,-99.7115478515625,0.0
150,342.7068176269531,-101.2077407836914,0.0
151,341.07568359375,-102.67803955078125,0.0
152,339.4212646484375,-104.12203979492188,0.0
153,337.7439270019531,-105.53939819335938,0.0
154,336.0441589355469,-106.92972564697266,0.0
155,334.32232666015625,-108.29268646240234,0.0
156,332.57891845703125,-109.6279296875,0.0
157,330.81439208984375,-110.93510437011719,0.0
158,329.0291748046875,-112.21388244628906,0.0
159,327.22369384765625,-113.46392822265625,0.0
160,325.3984680175781,-114.6849365234375,0.0
161,323.5539245605469,-115.87657928466797,0.0
162,321.6905822753906,-117.03855895996094,0.0
163,319.808837890625,-118.17057800292969,0.0
164,317.9092712402344,-119.27234649658203,0.0
165,315.9923095703125,-120.34358215332031,0.0
166,314.0584411621094,-121.3840103149414,0.0
167,312.1081848144531,-122.39336395263672,0.0
168,310.14202880859375,-123.37139129638672,0.0
169,308.16046142578125,-124.31782531738281,0.0
170,306.1640319824219,-125.23243713378906,0.0
171,304.1531982421875,-126.11499786376953,0.0
172,302.1285400390625,-126.96527099609375,0.0
173,300.0904846191406,-127.78304290771484,0.0
174,298.0396423339844,-128.56809997558594,0.0
